Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),m^2 land use/kg product,Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,m^2 land use/kg product / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
,,R-30406,G&G|Croissant|Multigrain|OK ,OK - GRAB & GO,120.00000000000048,182.70000000000073,1.7760000000000074,586.8000000000023,50.3,1538.6,152.25,1.48,41.92,1282.17,489.0,Green,Yellow,,TRUE,
,,R-30041,GRL|Bacon,OK - GRILL KITCHEN BREAKFAST,20.0,560.3955,7.569600000000001,1198.1399999999999,103.19,3091.83,2801.98,37.85,515.95,15459.15,5990.7,Red,Red,TRUE,,
,,R-28280,GRL|Breakfast Entree,OK - GRILL KITCHEN BREAKFAST,925.0000187500093,2929.114215551877,40.83257464643395,3477.005748522334,347.08,14440.18,316.66,4.41,37.52,1561.1,375.89,Yellow,Yellow,,TRUE,
,,R-50368,GRL|BreakfastCroissant,OK - GRILL KITCHEN BREAKFAST,314.25000028000045,1123.8546583645275,14.210824236283475,2116.8755336930753,203.28,7154.14,357.63,4.52,64.69,2276.58,673.63,Yellow,Red,TRUE,,
,,R-49805,GRL|Burrito|Lumberjack,OK - GRILL BRUNCH,398.00000000000017,1709.9096434427083,24.209096192699118,3569.488548823514,307.72,9242.77,429.63,6.08,77.32,2322.3,896.86,Red,Red,TRUE,,
,,R-50498,GRL|Crepe|Apple Cinnamon,OK - GRILL KITCHEN BREAKFAST,520.0000000000014,619.4690180645183,5.629725000000021,1876.6845161290391,162.86,4727.1,119.13,1.08,31.32,909.06,360.9,Green,Green,,,TRUE
Grill AM , Ham and swiss crepe,R-51146,GRL|Crepe|Ham and Swiss,OK - GRILL BRUNCH,497.00000084000146,1574.2851408180718,17.61267614598768,3698.81665765948,329.11,11397.1,316.76,3.54,66.22,2293.18,744.23,Yellow,Red,TRUE,,
Grill AM , Banana Nutella Crepe,R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST,570.0000000000014,1286.8434119106723,5.882538461538482,6190.156823821348,152.6,4633.9,225.76,1.03,26.77,812.96,1085.99,Yellow,Yellow,,TRUE,
Grill AM , Peach crepe,R-50570,GRL|Crepe|Rosemary Peach,OK - GRILL BRUNCH,520.0000000000014,600.7777580645184,5.5831818181818385,1845.1508797654028,151.39,4618.4,115.53,1.07,29.11,888.15,354.84,Green,Green,,,TRUE
,,R-37340,GRL|Egg Any Style,OK - GRILL KITCHEN BREAKFAST,50.0,223.19008845996797,3.672354240089942,426.94165261389395,37.99,1117.29,446.38,7.34,75.98,2234.58,853.88,Red,Red,TRUE,,
,,R-28291,GRL|Grilled Tomato,OK - GRILL KITCHEN BREAKFAST,450.0000000000045,1645.9031479591997,17.783099489796097,769.9846938775588,173.3,10082.02,365.76,3.95,38.51,2240.45,171.11,Yellow,Yellow,,TRUE,
,,R-50311,GRL|Pancake|CarrotCake,OK - GRILL KITCHEN BREAKFAST,330.0,589.023715253886,4.977454369602763,1146.2949533678757,94.81,3998.84,178.49,1.51,28.73,1211.77,347.36,Green,Yellow,,TRUE,
,,R-50320,GRL|Pancake|LemonPoppyseed,OK - GRILL KITCHEN BREAKFAST,300.0,357.50321818181817,2.129272727272727,861.9127272727272,61.03,3138.05,119.17,0.71,20.34,1046.02,287.3,Green,Green,,,TRUE
,,R-50348,GRL|Pancakes|AppleOat,OK - GRILL KITCHEN BREAKFAST,375.0,209.58377806451614,1.3494750000000002,551.6619007444169,45.83,1285.75,55.89,0.36,12.22,342.87,147.11,Green,Green,,,TRUE
,,R-50351,GRL|Pancakes|Oatmeal Raisin ,OK - GRILL KITCHEN BREAKFAST,315.0,412.02354,2.128575,821.376,165.1,2456.66,130.8,0.68,52.41,779.89,260.75,Green,Green,,,TRUE
,,R-35772,GRL|PotatoWedges,OK - GRILL KITCHEN BREAKFAST,250.0,113.98659948791156,1.4205123723996045,151.17492346607526,0.74,22.25,45.59,0.57,0.3,8.9,60.47,Green,Green,,,TRUE
,,R-28281,GRL|Sandwich|Breakfast,OK - GRILL KITCHEN BREAKFAST,247.5000002800012,1097.6280535569226,14.277028458390834,2399.1182541821554,210.77,6802.2,443.49,5.77,85.16,2748.36,969.34,Red,Red,TRUE,,
,,R-28286,GRL|Scrambled Eggs,OK - GRILL KITCHEN BREAKFAST,125.0,539.9854846938775,9.000911614645858,1010.0690276110445,93.08,2738.41,431.99,7.2,74.46,2190.73,808.06,Red,Red,TRUE,,
,,R-28288,GRL|TurkeyBreakfastSausage(2),OK - GRILL KITCHEN BREAKFAST,150.0000375000094,659.9401649850414,17.520004380001097,1726.5004316251081,55.55,50.03,439.96,11.68,37.03,33.35,1151.0,Red,Red,TRUE,,
,,R-35270,GRL|Burger|Bacon Mush Swiss,OK - GRILL KITCHEN DAY,427.0000002800017,1055.1323978937546,12.148428576402688,2534.1513058817277,187.25,6297.14,247.1,2.85,43.85,1474.74,593.48,Yellow,Yellow,,TRUE,
,,R-50323,GRL|Burger|Blue Cheese,OK - GRILL KITCHEN DAY,388.0000000000017,638.9478896551444,6.6313592703547695,1141.766302543579,105.46,4517.6,164.68,1.71,27.18,1164.33,294.27,Green,Yellow,,TRUE,
,,R-50889,GRL|Burger|Canadian,OK - GRILL KITCHEN DAY,414.0000002800017,1081.1933650913832,13.262301688060402,2065.7599279213587,197.73,7054.24,261.16,3.2,47.76,1703.92,498.98,Yellow,Yellow,,TRUE,
,,R-28250,GRL|Burger|Cheeseburger,OK - GRILL KITCHEN DAY,367.0000002800017,523.714853968934,5.6672576574481575,874.5830095540117,94.75,3965.78,142.7,1.54,25.82,1080.59,238.31,Green,Green,,,TRUE
,,R-50822,GRL|Burger|ChickenStacker,OK - GRILL KITCHEN DAY,441.0000000000012,1786.889406417795,30.20566325167509,4078.9872472363295,271.43,7734.78,405.19,6.85,61.55,1753.92,924.94,Red,Red,TRUE,,
,,R-28249,GRL|Burger|Classic Beef ,OK - GRILL KITCHEN DAY,353.0000000000017,398.969251474022,4.361057631324157,728.1430066252118,72.92,2839.29,113.02,1.24,20.66,804.33,206.27,Green,Green,,,TRUE
,,R-28252,GRL|Burger|Shacks,OK - GRILL KITCHEN DAY,412.0000002800017,1124.849511966383,13.812959500560403,2164.809927921359,199.41,7135.35,273.02,3.35,48.4,1731.88,525.44,Yellow,Yellow,,TRUE,
,,R-35714,GRL|Chicken Burger|Blackened,OK - GRILL KITCHEN DAY,377.0000002800027,1112.0823457758597,20.29243048339619,2437.688188856818,140.51,3994.3,294.98,5.38,37.27,1059.5,646.6,Yellow,Yellow,,TRUE,
,,R-50466,GRL|Chicken Burger|Buffalo,OK - GRILL KITCHEN DAY,299.0000000000012,930.3985935229603,19.427124539863033,2575.568053837973,109.43,2001.15,311.17,6.5,36.6,669.28,861.39,Yellow,Yellow,,TRUE,
Grill PM ," Guac, bacon + chicken burger",R-28251,GRL|Chicken Burger|California,OK - GRILL KITCHEN DAY,424.00000000000273,1676.357955730758,27.658948495218656,3696.214265221389,242.94,7049.12,395.37,6.52,57.3,1662.53,871.75,Red,Red,TRUE,,
,,R-35015,GRL|French Fries,OK - GRILL KITCHEN DAY,230.0,150.49935000000005,1.4398,300.61,1.52,79.3,65.43,0.63,0.66,34.48,130.7,Green,Green,,,TRUE
,,R-28254,GRL|GrilledCheese|3 Cheese Tom,OK - GRILL KITCHEN DAY,295.00000056000016,1332.375407408572,12.597158064341754,1791.0162945953257,183.07,9036.45,451.65,4.27,62.06,3063.2,607.12,Red,Red,TRUE,,
,,R-50415,GRL|GrilledCheese|Ched Mushro,OK - GRILL KITCHEN DAY,283.0000005600004,810.6695383231599,7.141571246395911,1649.572615584773,103.14,4622.4,286.46,2.52,36.45,1633.36,582.89,Yellow,Yellow,,TRUE,
,,R-50546,GRL|GrilledCheese|Spicy Havart,OK - GRILL KITCHEN DAY,215.00000000000017,876.6610666666693,8.717127777777804,1216.8833333333416,136.16,6492.28,407.75,4.05,63.33,3019.67,565.99,Red,Red,TRUE,,
,,R-50798,GRL|GrilledCheese|Swiss Apple,OK - GRILL BRUNCH,216.00000084000015,684.9815518656909,6.4285398204355175,989.68877069117,108.49,4888.57,317.12,2.98,50.23,2263.23,458.19,Yellow,Yellow,,TRUE,
,,R-47390,GRL|MeatballSub,OK - GRILL KITCHEN DAY,278.0000000000001,6552.18425994898,53.0437456122449,19470.110117346943,312.99,12127.76,2356.9,19.08,112.59,4362.5,7003.64,Red,Red,TRUE,,
,,R-50504,GRL|Philly Cheese Steak,OK - GRILL KITCHEN DAY,228.00000028000014,4118.0165400297765,33.75387910775666,12104.387722741725,214.54,8448.72,1806.15,14.8,94.1,3705.58,5308.94,Red,Red,TRUE,,
,,R-35313,GRL|Salad|Caesar,OK - GRILL KITCHEN DAY,280.5,563.5307518682332,4.431244621894519,1505.5451494382573,66.56,3015.57,200.9,1.58,23.73,1075.07,536.74,Yellow,Yellow,,TRUE,
Delish , Chef's,R-34864,GRL|Salad|Chef,OK - GRILL KITCHEN DAY,319.0000054400009,1260.047918903741,18.74070644570031,2357.29968059845,179.85,6262.26,395.0,5.87,56.38,1963.09,738.97,Red,Red,TRUE,,
,,R-50574,GRL|Salad|Cobb,OK - GRILL BRUNCH,335.0,1397.480786438071,23.429202491403945,2947.776152635047,188.63,5444.15,417.16,6.99,56.31,1625.12,879.93,Red,Red,TRUE,,
,,R-43677,GRL|Salad|SantaFe,OK - GRILL KITCHEN DAY,255.0,583.095117260221,4.867489634294107,2005.1296193707974,106.91,3509.65,228.66,1.91,41.93,1376.33,786.33,Yellow,Yellow,,TRUE,
,,R-50496,GRL|SALAD|ShrimpLouis,OK - GRILL BRUNCH,376.00000336000056,1423.0506139902948,8.977863425615544,933.2476551802732,112.5,4220.29,378.47,2.39,29.92,1122.42,248.2,Yellow,Yellow,,TRUE,
,,R-43746,GRL|Salad|Signature,OK - GRILL KITCHEN DAY,320.0,322.8210259191532,2.4310418071628908,658.2803122879124,56.07,3354.99,100.88,0.76,17.52,1048.43,205.71,Green,Green,,,TRUE
,,R-50894,GRL|Salad|Signature|SIDE,OK - GRILL KITCHEN DAY,160.0,162.11065952137685,1.2113603504659585,328.5134399151677,27.99,1675.95,101.32,0.76,17.49,1047.47,205.32,Green,Green,,,TRUE
Grill PM , Rueben,R-50491,GRL|Sandwich|Reuben,OK - GRILL KITCHEN DAY,318.00000056,4526.464927158883,37.294918754306174,12327.269240307363,275.29,11057.06,1423.42,11.73,86.57,3477.06,3876.5,Red,Red,TRUE,,
,,R-35014,GRL|Yam Fries,OK - GRILL KITCHEN DAY,171.0,86.53625918367348,1.0637397959183674,116.1938775510204,0.56,16.68,50.61,0.62,0.33,9.75,67.95,Green,Green,,,TRUE
,,R-50481,ALF|BakedChorizoPeppersPenne,OK - AL FORNO,502.0,1274.0240964095644,14.991584004511184,2500.427693434899,215.94,8157.55,253.79,2.99,43.02,1625.01,498.09,Yellow,Yellow,,TRUE,
,,R-50533,ALF|Flatbread|ArtichokePesto,OK - AL FORNO,248.0,460.7719244260204,5.097377200255101,809.8316326530612,79.7,3577.02,185.8,2.06,32.14,1442.35,326.55,Green,Yellow,,TRUE,
,,R-50562,ALF|Flatbread|Italian,OK - AL FORNO,141.0,593.347237444543,7.096076752440107,1146.9677905944986,110.04,3880.49,420.81,5.03,78.04,2752.12,813.45,Red,Red,TRUE,,
,,R-50590,ALF|Flatbread|OK,OK - AL FORNO,165.0,375.90129375,3.808565625,658.3999999999999,58.6,2586.57,227.82,2.31,35.52,1567.62,399.03,Yellow,Yellow,,TRUE,
,,R-50494,ALF|Flatbread|Proscuitto,OK - AL FORNO,210.0,784.8455618055555,9.070598263888888,1528.9777777777779,137.58,5212.08,373.74,4.32,65.51,2481.94,728.08,Yellow,Red,TRUE,,
,,R-50540,ALF|Moussaka,OK - AL FORNO,420.00000000001427,2739.3635662353877,23.106283823530198,7176.526823529658,160.8,6697.52,652.23,5.5,38.29,1594.65,1708.7,Red,Red,TRUE,,
,,R-50541,ALF|Pasta|Bolognese Penne,OK - AL FORNO,450.0000000000045,2232.068488146574,19.570329741379506,5560.0399784483325,228.42,9763.61,496.02,4.35,50.76,2169.69,1235.56,Red,Red,TRUE,,
,,R-50819,ALF|Pasta|Penne Alfredo,OK - AL FORNO,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0,Green,Green,,,TRUE
,,R-50825,ALF|Sweet Potato,OK - AL FORNO,115.0,45.655,0.575,59.800000000000004,0.3,9.0,39.7,0.5,0.26,7.83,52.0,Green,Green,,,TRUE
,,R-50454,GLB|Baby Shrimp Scampi,OK - GLOBAL KITCHEN ,437.0,2282.0063336144444,8.664717969728978,1611.458178852006,173.42,6665.03,522.2,1.98,39.68,1525.18,368.75,Red,Yellow,,TRUE,
,,R-36078,GLB|Beef Vindaloo,OK - GLOBAL KITCHEN ,662.0000000000005,5755.088908853644,45.54740241567434,16867.830103649176,382.54,10144.51,869.35,6.88,57.79,1532.4,2548.01,Red,Red,TRUE,,
,,R-32750,GLB|Chicken Adobo,OK - GLOBAL KITCHEN ,608.0,2560.3740631943574,60.844801566612816,6355.239076565974,302.09,656.16,421.11,10.01,49.69,107.92,1045.27,Red,Red,TRUE,,
,,R-29391,GLB|Chicken Kung Pao,OK - GLOBAL KITCHEN ,462.0,946.7763843767889,17.065529014755224,2551.7545160898144,140.69,4254.39,204.93,3.69,30.45,920.86,552.33,Yellow,Yellow,,TRUE,
,,R-50422,GLB|Lamb Biryani,OK - GLOBAL KITCHEN ,385.0,5578.304460739537,30.42511433427592,18416.741025119783,221.9,782.55,1448.91,7.9,57.64,203.26,4783.57,Red,Red,TRUE,,
,,R-51193,GLB|MonggoGuisado,OK - GLOBAL KITCHEN ,388.0,481.7012372926482,1.8741918801214212,1612.0338022586286,144.99,562.57,124.15,0.48,37.37,144.99,415.47,Green,Green,,,TRUE
,,R-50007,GLB|Pasta|Beef Stroganoff,OK - GLOBAL KITCHEN ,516.0,7903.6810680779845,62.802830058319834,23677.78970096491,369.37,14135.17,1531.72,12.17,71.58,2739.37,4588.72,Red,Red,TRUE,,
,,R-50501,GLB|Pasta|WestCoastSpaghetti,OK - GLOBAL KITCHEN ,425.5,1605.177558939663,7.705652506654836,1047.3996561668146,146.95,5584.52,377.25,1.81,34.54,1312.46,246.16,Yellow,Yellow,,TRUE,
,,R-28260,GLB|Soup|Beef pho,OK - GLOBAL KITCHEN ,591.5920018291004,13344.62954422166,105.37815573399224,40247.06233296508,677.66,20010.22,2255.72,17.81,114.55,3382.44,6803.18,Red,Red,TRUE,,
,,R-35819,GLB|Soup|ChickenDumpling ,OK - GLOBAL KITCHEN ,715.0,1050.836872881224,22.141327510467637,2580.5150130601446,168.76,526.54,146.97,3.1,23.6,73.64,360.91,Green,Green,,,TRUE
,,R-37093,GLB|Spaghetti & Meatballs,OK - GLOBAL KITCHEN ,592.0,6650.010882624717,53.68386461451247,19906.08007426304,335.6,12421.68,1123.31,9.07,56.69,2098.26,3362.51,Red,Red,TRUE,,
Fresh Fare PM , Spagetti Puttanesca,R-50694,GLB|Spaghetti Puttanesca,OK - GLOBAL KITCHEN ,396.5,488.7626485204969,3.7282403785070763,1431.829714919656,77.75,3018.63,123.27,0.94,19.61,761.32,361.12,Green,Green,,,TRUE
,,R-51195,GLB|Sweet & Sour Pork,OK - GLOBAL KITCHEN ,500.0,2042.2448766538303,24.233986229786172,4227.072070903688,443.99,10376.81,408.45,4.85,88.8,2075.36,845.41,Red,Red,TRUE,,
,,R-33532,GLB|Sweet Chili Chicken,OK - GLOBAL KITCHEN ,420.5,852.7615257924704,14.916388369495596,1909.7477209493122,205.76,1220.87,202.8,3.55,48.93,290.34,454.16,Yellow,Yellow,,TRUE,
,,R-50700,GLB|Teriyaki Tofu Bowl,OK - GLOBAL KITCHEN ,549.0,620.5044208966384,3.3005999576681058,1212.6718831753276,146.66,1524.62,113.02,0.6,26.71,277.71,220.89,Green,Green,,,TRUE
,,R-50681,GLB|ThaiStirFry,OK - GLOBAL KITCHEN ,405.0,454.28108510695427,2.729628047171745,929.3105668943804,180.95,2856.46,112.17,0.67,44.68,705.3,229.46,Green,Green,,,TRUE
,,R-51285,SQR|3BeanChili 300g,OK - SQUARE MEAL,300.0,516.66413340353,3.6880399452516284,2470.3284665619485,42.3,1727.13,172.22,1.23,14.1,575.71,823.44,Green,Yellow,,TRUE,
,,R-51201,SQR|BEEF|Skewer,OK - SQUARE MEAL,41.0,183.21209545454545,0.7168,563.8731818181818,4.04,138.13,446.86,1.75,9.85,336.9,1375.3,Red,Yellow,,TRUE,
,,R-51307,SQR|BEEF|Skewer+1,OK - SQUARE MEAL,161.0,340.5889320025069,2.4229306663904806,948.0207441102261,11.75,590.53,211.55,1.5,7.3,366.79,588.83,Yellow,Green,,,TRUE
,,R-51308,SQR|BEEF|Skewer+2,OK - SQUARE MEAL,281.0,497.9657685504684,4.12906133278096,1332.1683064022702,19.45,1042.93,177.21,1.47,6.92,371.15,474.08,Green,Green,,,TRUE
,,R-47340,SQR|Brown Rice 170g,OK - SQUARE MEAL,170.0,214.67259700176368,0.46198955822317106,183.7993827160494,133.52,394.08,126.28,0.27,78.54,231.81,108.12,Green,Green,,,TRUE
,,R-40743,SQR|Grill Farmer Sausage+1,OK - SQUARE MEAL,371.147,2198.688444755617,25.77949661264971,4324.887383250278,311.8,11101.53,592.4,6.95,84.01,2991.14,1165.28,Red,Red,TRUE,,
,,R-41128,SQR|Grill Farmer Sausage+2,OK - SQUARE MEAL,509.147,2295.45606240216,27.2486355622965,4524.054148131495,316.43,11244.79,450.84,5.35,62.15,2208.55,888.56,Red,Red,TRUE,,
,,R-28309,SQR|Grilled Farmer Sausage,OK - SQUARE MEAL,175.0,1690.077144035242,22.6708261168943,3666.462094245051,305.56,9155.42,965.76,12.95,174.61,5231.67,2095.12,Red,Red,TRUE,,
,,R-28313,SQR|Perogies,OK - SQUARE MEAL,220.0,260.86126034229096,1.1562663402731594,446.4607630940614,0.94,917.49,118.57,0.53,0.43,417.04,202.94,Green,Green,,,TRUE
,,R-45152,SQR|Salad|RoastedPineapple ,OK - SQUARE MEAL,160.0,135.58800954497679,1.2586400709432441,439.01838407366665,9.06,350.29,84.74,0.79,5.66,218.93,274.39,Green,Green,,,TRUE
,,R-28318,SQR|Seasonal Vegetable,OK - SQUARE MEAL,140.0,160.20616166351917,2.9842699447933216,292.3306226385314,7.48,179.21,114.43,2.13,5.34,128.01,208.81,Green,Green,,,TRUE
,,R-45151,SQR|Shoyu Chicken +1,OK - SQUARE MEAL,510.0,1902.9958532398064,45.452160865236195,4768.685794950621,214.16,654.54,373.14,8.91,41.99,128.34,935.04,Yellow,Red,TRUE,,
,,R-45153,SQR|Shoyu Chicken +2,OK - SQUARE MEAL,675.0,2078.135578387705,46.31272255480706,5080.111240844652,285.45,1026.72,307.87,6.86,42.29,152.11,752.61,Yellow,Yellow,,TRUE,
Grill PM , Shoyu chicken burger,R-45150,SQR|Shoyu Chicken 340g (2 pc) ,OK - SQUARE MEAL,345.0,1727.865549966436,44.59184605065298,4457.276911555764,142.87,282.35,500.83,12.93,41.41,81.84,1291.96,Red,Red,TRUE,,
,,R-50390,SQR|Shoyu Tofu 150g,OK - SQUARE MEAL,155.0,286.08713799104925,1.0499576122654688,659.0350474842658,2.28,77.48,184.57,0.68,1.47,49.99,425.18,Green,Green,,,TRUE
,,R-51305,SQR|Shoyu Tofu+1,OK - SQUARE MEAL,320.0,461.59739276353764,1.904527647737091,970.769239521099,73.81,449.28,144.25,0.6,23.07,140.4,303.37,Green,Green,,,TRUE
,,R-51306,SQR|Shoyu Tofu+2,OK - SQUARE MEAL,485.0,637.107647536026,2.759097683208713,1282.5034315579323,145.34,821.08,131.36,0.57,29.97,169.29,264.43,Green,Green,,,TRUE
,,R-45200,SQR|STEW|Bo Kho Beef +2,OK - SQUARE MEAL,655.0,5281.638618106553,43.03415812218095,15340.008589702878,346.43,7776.09,806.36,6.57,52.89,1187.19,2341.99,Red,Red,TRUE,,
,,R-45019,SQR|STEW|BoKhoBeef 350g,OK - SQUARE MEAL,350.0,4910.492402335553,39.89263138575834,14883.69910520419,197.87,7199.63,1403.0,11.4,56.53,2057.04,4252.49,Red,Red,TRUE,,
,,R-45199,SQR|STEW|BoKhoBeef+1,OK - SQUARE MEAL,502.5,5096.065510221053,41.463394753969645,15111.853847453534,272.15,7487.86,1014.14,8.25,54.16,1490.12,3007.33,Red,Red,TRUE,,
